detectorType,descriptorType,imageIndex,TTC Lidar,TTC Camera
AKAZE,BRIEF,4,16.6894,15.4523
AKAZE,BRIEF,5,15.7465,16.521
AKAZE,BRIEF,6,12.7835,13.909
AKAZE,BRIEF,7,11.9844,15.9391
AKAZE,BRIEF,8,13.1241,15.7207
AKAZE,BRIEF,9,13.0241,14.1721
AKAZE,BRIEF,10,11.1746,12.7615
AKAZE,BRIEF,11,12.8086,13.7188
AKAZE,BRIEF,12,8.95978,13.4991
AKAZE,BRIEF,13,9.96439,10.574
AKAZE,BRIEF,14,9.59863,10.5076
AKAZE,BRIEF,15,8.52157,9.26243
AKAZE,BRIEF,16,9.51552,10.6864
AKAZE,BRIEF,17,9.61241,10.0637
AKAZE,BRIEF,18,8.3988,9.28732
AKAZE,ORB,1,12.5156,17.7168
AKAZE,ORB,2,12.6142,21.7206
AKAZE,ORB,3,14.091,14.0971
AKAZE,ORB,4,16.6894,15.2407
AKAZE,ORB,5,15.7465,17.5117
AKAZE,ORB,6,12.7835,16.2673
AKAZE,ORB,7,11.9844,20.1333
AKAZE,ORB,8,13.1241,16.1299
AKAZE,ORB,9,13.0241,15.4276
AKAZE,ORB,10,11.1746,12.9409
AKAZE,ORB,11,12.8086,13.2135
AKAZE,ORB,12,8.95978,15.3526
AKAZE,ORB,13,9.96439,11.1806
AKAZE,ORB,14,9.59863,11.4858
AKAZE,ORB,15,8.52157,11.5602
AKAZE,ORB,16,9.51552,12.1745
AKAZE,ORB,17,9.61241,9.90009
AKAZE,ORB,18,8.3988,10.042
AKAZE,FREAK,1,12.5156,19.9418
AKAZE,FREAK,2,12.6142,23.7831
AKAZE,FREAK,3,14.091,16.5433
AKAZE,FREAK,4,16.6894,21.4799
AKAZE,FREAK,5,15.7465,20.0858
AKAZE,FREAK,6,12.7835,18.3006
AKAZE,FREAK,7,11.9844,18.0136
AKAZE,FREAK,8,13.1241,16.5349
AKAZE,FREAK,9,13.0241,14.205
AKAZE,FREAK,10,11.1746,13.6779
AKAZE,FREAK,11,12.8086,14.4393
AKAZE,FREAK,12,8.95978,12.8356
AKAZE,FREAK,13,9.96439,12.5327
AKAZE,FREAK,14,9.59863,11.0879
AKAZE,FREAK,15,8.52157,11.7699
AKAZE,FREAK,16,9.51552,10.548
AKAZE,FREAK,17,9.61241,10.4999
AKAZE,FREAK,18,8.3988,10.0466
AKAZE,AKAZE,1,12.5156,15.4404
AKAZE,AKAZE,2,12.6142,21.0712
AKAZE,AKAZE,3,14.091,15.002
AKAZE,AKAZE,4,16.6894,20.9136
AKAZE,AKAZE,5,15.7465,23.7839
AKAZE,AKAZE,6,12.7835,13.6631
AKAZE,AKAZE,7,11.9844,16.0322
AKAZE,AKAZE,8,13.1241,16.2404
AKAZE,AKAZE,9,13.0241,15.2002
AKAZE,AKAZE,10,11.1746,13.2875
AKAZE,AKAZE,11,12.8086,13.548
AKAZE,AKAZE,12,8.95978,18.7503
AKAZE,AKAZE,13,9.96439,12.5258
AKAZE,AKAZE,14,9.59863,11.842
AKAZE,AKAZE,15,8.52157,19.5115
AKAZE,AKAZE,16,9.51552,13.7219
AKAZE,AKAZE,17,9.61241,11.385
AKAZE,AKAZE,18,8.3988,9.91155
AKAZE,SIFT,1,12.5156,13.0026
AKAZE,SIFT,2,12.6142,15.4089
AKAZE,SIFT,3,14.091,13.7264
AKAZE,SIFT,4,16.6894,15.2099
AKAZE,SIFT,5,15.7465,18.6318
AKAZE,SIFT,6,12.7835,15.293
AKAZE,SIFT,7,11.9844,17.4369
AKAZE,SIFT,8,13.1241,14.5612
AKAZE,SIFT,9,13.0241,15.6282
AKAZE,SIFT,10,11.1746,12.1401
AKAZE,SIFT,11,12.8086,13.7017
AKAZE,SIFT,12,8.95978,15.6889
AKAZE,SIFT,13,9.96439,11.2365
AKAZE,SIFT,14,9.59863,10.602
AKAZE,SIFT,15,8.52157,10.7229
AKAZE,SIFT,16,9.51552,11.031
AKAZE,SIFT,17,9.61241,10.2394
AKAZE,SIFT,18,8.3988,8.96532
SIFT,BRISK,1,12.5156,-0.687122
SIFT,BRISK,2,12.6142,35.3722
SIFT,BRISK,3,14.091,38.8907
SIFT,BRISK,4,16.6894,-0.411019
SIFT,BRISK,5,15.7465,-0.552647
SIFT,BRISK,6,12.7835,25.8265
SIFT,BRISK,7,11.9844,-0.30821
SIFT,BRISK,8,13.1241,42.5437
SIFT,BRISK,9,13.0241,39.1126
SIFT,BRISK,10,11.1746,-1.60087
SIFT,BRISK,11,12.8086,19.785
SIFT,BRISK,12,8.95978,22.1696
SIFT,BRISK,13,9.96439,-0.447728
SIFT,BRISK,14,9.59863,-0.490358
SIFT,BRISK,15,8.52157,79.3168
SIFT,BRISK,16,9.51552,25.7657
SIFT,BRISK,17,9.61241,45.8937
SIFT,BRISK,18,8.3988,14.0379
SIFT,BRIEF,1,12.5156,14.8202
SIFT,BRIEF,2,12.6142,19.3563
SIFT,BRIEF,3,14.091,19.7132
SIFT,BRIEF,4,16.6894,28.8191
SIFT,BRIEF,5,15.7465,17.1657
SIFT,BRIEF,6,12.7835,16.6336
SIFT,BRIEF,7,11.9844,16.926
SIFT,BRIEF,8,13.1241,23.9323
SIFT,BRIEF,9,13.0241,14.6838
SIFT,BRIEF,10,11.1746,11.0335
SIFT,BRIEF,11,12.8086,14.03
SIFT,BRIEF,12,8.95978,10.6741
SIFT,BRIEF,13,9.96439,9.69631
SIFT,BRIEF,14,9.59863,11.3455
SIFT,BRIEF,15,8.52157,9.43513
SIFT,BRIEF,16,9.51552,9.22835
SIFT,BRIEF,17,9.61241,8.39108
SIFT,BRIEF,18,8.3988,10.0595
SIFT,FREAK,1,12.5156,-2.87443
SIFT,FREAK,2,12.6142,28.5813
SIFT,FREAK,3,14.091,111.109
SIFT,FREAK,4,16.6894,-0.714374
SIFT,FREAK,5,15.7465,242.768
SIFT,FREAK,6,12.7835,-0.290209
SIFT,FREAK,7,11.9844,-0.26502
SIFT,FREAK,8,13.1241,-1.91009
SIFT,FREAK,9,13.0241,-3.88353
SIFT,FREAK,10,11.1746,19.6285
SIFT,FREAK,11,12.8086,-4.37173
SIFT,FREAK,12,8.95978,-0.964164
SIFT,FREAK,13,9.96439,14.1106
SIFT,FREAK,14,9.59863,19.3839
SIFT,FREAK,15,8.52157,-0.30182
SIFT,FREAK,16,9.51552,19.5936
